"","Wort","sentiment score"
"1","Abbau","-0.058"
"2","Abbruch","-0.0048"
"3","Abdankung","-0.0048"
"4","Abdämpfung","-0.0048"
"5","Abfall","-0.0048"
"6","Abfuhr","-0.3367"
"7","Abgrund","-0.3465"
"8","Abhängigkeit","-0.3653"
"9","Ablehnung","-0.5118"
"10","Ablenkung","-0.0435"
"11","Abnahme","-0.0048"
"12","Abneigung","-0.0048"
"13","Abnutzung","-0.0048"
"14","Abriss","-0.0048"
"15","Abrutsch","-0.0048"
"16","Abschaffung","-0.058"
"17","Abschreckung","-0.0048"
"18","Abschreibung","-0.3345"
"19","Abschuß","-0.0048"
"20","Abschwächung","-0.1935"
"21","Absenkung","-0.3434"
"22","Abspaltung","-0.0048"
"23","Absperrung","-0.0048"
"24","Abstieg","-0.3215"
"25","Abstoß","-0.0048"
"26","Abstrich","-0.3201"
"27","Abstumpfung","-0.0048"
"28","Absturz","-0.4739"
"29","Absurdität","-0.0048"
"30","Abweichung","-0.3462"
"31","Abweisung","-0.0048"
"32","Abwertung","-0.3283"
"33","Abwärtstrend","-0.1941"
"34","Abzocke","-0.0048"
"35","Achtlosigkeit","-0.0048"
"36","Affäre","-0.1794"
"37","Aggression","-0.4889"
"38","Aggressivität","-0.1958"
"39","Aggressor","-0.3155"
"40","Agitation","-0.0048"
"41","Alarm","-0.0048"
"42","Alptraum","-0.0048"
"43","Amateur","-0.0048"
"44","Ambivalenz","-0.3266"
"45","Androhung","-0.0048"
"46","Anfälligkeit","-0.0048"
"47","Angreifer","-0.0048"
"48","Angriff","-0.212"
"49","Angst","-0.514"
"50","Anklage","-0.3468"
"51","Anmaßung","-0.0048"
"52","Annullierung","-0.0048"
"53","Anomalie","-0.0048"
"54","Anspannung","-0.0048"
"55","Anstrengung","-0.0048"
"56","Antipathie","-0.0048"
"57","Arbeitslose","-0.3549"
"58","Arbeitslosigkeit","-0.3654"
"59","Armut","-0.2038"
"60","Arroganz","-0.3289"
"61","Arschloch","-0.1901"
"62","Attacke","-0.47"
"63","Aufhebung","-0.0048"
"64","Auflösung","-0.0048"
"65","Aufregung","-0.0386"
"66","Aufruhr","-0.0048"
"67","Aufschrei","-0.0048"
"68","Aufstand","-0.0048"
"69","Ausbeute","-0.1894"
"70","Ausbeuter","-0.0048"
